ShoppingID,FirstName,LastName,Email,RegistrationDate,LastShoppingDate,LocationRegistration,CurrentPoints,HighestPoints,PreferredReward,LastPurchaseMode
1,Kimmy,Pattin,Kimmy.Pattin@samplemail.com,2021-05-14,2021-11-18,Pasay City,12,1370,Food Discount,Online
2,Margarette,Hutchison,Margarette.Hutchison@samplemail.com,2013-07-02,2021-08-08,Makati City,720,1257,Freebie,Mall
3,Melanie,Charmine,Melanie.Charmine@samplemail.com,2017-03-02,2021-07-20,Alabang City,770,1880,Gift Check,Mall
4,Angela,Khorma,Angela.Khorma@samplemail.com,2011-06-19,2021-09-19,Pasay City,848,1964,Freebie,Mall
5,Caryl,Voletta,Caryl.Voletta@samplemail.com,2017-05-16,2021-05-06,Manila City,259,1214,Food Discount,Mall
6,Jaclyn,Ellerey,Jaclyn.Ellerey@samplemail.com,2016-06-12,2021-10-27,Pasay City,594,1714,Leisure Discount,Online
7,Petronia,Trace,Petronia.Trace@samplemail.com,2012-04-17,2021-04-07,Makati City,123,1556,Food Discount,Mall
8,Marguerite,Bow,Marguerite.Bow@samplemail.com,2018-10-09,2021-01-19,Taguig City,521,1641,Gift Check,Mall
9,Berta,Kaete,Berta.Kaete@samplemail.com,2019-04-02,2021-08-08,Alabang City,915,1450,Food Discount,Mall
10,Rosabelle,Halla,Rosabelle.Halla@samplemail.com,2015-02-17,2021-08-04,Pasay City,811,1024,Leisure Discount,Online
11,Trudie,Liva,Trudie.Liva@samplemail.com,2018-02-17,2021-07-28,Pasay City,908,1844,Freebie,Online
12,Fayre,Voletta,Fayre.Voletta@samplemail.com,2011-05-04,2021-09-11,Pasay City,516,1960,Freebie,Mall
13,Stephanie,Ethban,Stephanie.Ethban@samplemail.com,2011-12-05,2021-10-09,Alabang City,387,1357,Food Discount,Online
14,Ileana,Riordan,Ileana.Riordan@samplemail.com,2019-08-23,2021-10-03,Taguig City,550,1375,Product Discount,Online
15,Reeba,Borrell,Reeba.Borrell@samplemail.com,2018-11-19,2021-07-11,Pasay City,218,1688,Product Discount,Online
16,Florie,Dorine,Florie.Dorine@samplemail.com,2018-07-09,2021-10-30,Pasay City,432,1506,Gift Check,Mall
17,Melisent,Virgin,Melisent.Virgin@samplemail.com,2013-06-11,2021-09-06,Pasay City,81,1438,Leisure Discount,Mall
18,Lynea,Dawkins,Lynea.Dawkins@samplemail.com,2020-11-23,2021-06-14,Pasay City,471,1055,Food Discount,Online
19,Kenna,Noelyn,Kenna.Noelyn@samplemail.com,2013-11-09,2021-09-24,Pasay City,642,1688,Food Discount,Mall
20,Therine,Leler,Therine.Leler@samplemail.com,2013-01-30,2021-01-18,Alabang City,189,1700,Freebie,Mall
21,Kirstin,Zola,Kirstin.Zola@samplemail.com,2021-10-20,2021-09-29,Manila City,48,1642,Product Discount,Mall
22,Rhea,Wenda,Rhea.Wenda@samplemail.com,2012-12-17,2021-06-22,Taguig City,817,1628,Gift Check,Mall
23,Lorenza,Sabella,Lorenza.Sabella@samplemail.com,2019-05-05,2021-03-10,Manila City,129,1298,Freebie,Mall
24,Althea,Skurnik,Althea.Skurnik@samplemail.com,2018-06-27,2021-10-02,Alabang City,804,1785,Freebie,Online
25,Fred,Stevy,Fred.Stevy@samplemail.com,2012-06-26,2021-10-21,Alabang City,181,1361,Product Discount,Mall
26,Doralynne,Dielu,Doralynne.Dielu@samplemail.com,2016-12-19,2021-03-16,Alabang City,408,1497,Product Discount,Mall
27,Emelina,Ilka,Emelina.Ilka@samplemail.com,2021-09-01,2021-03-17,Pasay City,534,1255,Freebie,Mall
28,Sam,Juliet,Sam.Juliet@samplemail.com,2019-08-13,2021-09-05,Alabang City,614,1392,Leisure Discount,Online
29,Miquela,McCutcheon,Miquela.McCutcheon@samplemail.com,2014-01-04,2021-01-23,Makati City,553,1727,Product Discount,Mall
30,Hayley,Hillel,Hayley.Hillel@samplemail.com,2021-06-11,2021-02-06,Alabang City,776,1410,Leisure Discount,Mall
31,Nikki,Velick,Nikki.Velick@samplemail.com,2020-03-17,2021-07-07,Makati City,66,1060,Food Discount,Online
32,Orsola,Kenney,Orsola.Kenney@samplemail.com,2017-11-14,2021-02-11,Alabang City,814,1204,Leisure Discount,Online
33,Raquela,Willie,Raquela.Willie@samplemail.com,2012-07-31,2021-03-13,Makati City,808,1473,Leisure Discount,Mall
34,Mildrid,Serilda,Mildrid.Serilda@samplemail.com,2013-04-05,2021-11-21,Alabang City,25,1785,Gift Check,Mall
35,Danika,Zamora,Danika.Zamora@samplemail.com,2018-03-22,2021-05-12,Taguig City,725,1228,Freebie,Online
36,Sissy,Federica,Sissy.Federica@samplemail.com,2015-09-02,2021-06-28,Alabang City,358,1695,Freebie,Mall
37,Laure,Mich,Laure.Mich@samplemail.com,2016-11-29,2021-04-08,Taguig City,16,1903,Gift Check,Online
38,Georgetta,Even,Georgetta.Even@samplemail.com,2017-03-28,2021-10-21,Manila City,347,1069,Product Discount,Online
39,Ariela,Fennessy,Ariela.Fennessy@samplemail.com,2014-10-24,2021-07-17,Makati City,495,1317,Product Discount,Mall
40,Gisela,Bigner,Gisela.Bigner@samplemail.com,2021-05-19,2021-04-11,Manila City,430,1011,Gift Check,Online
41,Halette,Taima,Halette.Taima@samplemail.com,2013-12-18,2021-03-04,Alabang City,739,1900,Freebie,Mall
42,Dianemarie,Lia,Dianemarie.Lia@samplemail.com,2011-11-07,2021-08-23,Manila City,140,1145,Leisure Discount,Mall
43,Aurore,Kenwood,Aurore.Kenwood@samplemail.com,2017-01-17,2021-01-29,Manila City,567,1837,Food Discount,Online
44,Etta,Jobi,Etta.Jobi@samplemail.com,2019-11-23,2021-05-24,Makati City,73,1678,Food Discount,Online
45,Arlena,Reidar,Arlena.Reidar@samplemail.com,2013-11-01,2021-11-13,Taguig City,420,1688,Product Discount,Online
46,Rosene,Merna,Rosene.Merna@samplemail.com,2015-08-06,2021-01-17,Makati City,381,1457,Leisure Discount,Online
47,Stevana,Morrill,Stevana.Morrill@samplemail.com,2019-05-18,2021-01-18,Taguig City,54,1184,Gift Check,Mall
